货物出口到香港包括九龙或澳门寸仓火险责任扩展条款,_FIRE_RISK_EXTENSION_CLAUSEFOR
中国航天科技集团公司航天时代电子公司第研究所,_CHINA_AEROSPACE_SCIENCE_AND
想知道国际贸易实务常用词汇英汉对照专有技术,_KNOW_HOW
全套清洁已装船作成凭指示和空白背书的提单,_ORDER_AND_ENDORSED_IN_BLANK
所以绝对不可以直接连接两个独立的句子,_THEREFORE
中国电子科技集团公司电子科学研究院,_CHINA_ELECTRONIC_TECHNOLOGY
我不知道贸易咨询手工制纺织品产地证,_CERTIFICATE_IN_REGARD_TO
中华人民共和国国家工商行政管理局,_STATE_ADMINISTRATION_FOR
听说国际贸易未完税交货指定目的地,_DELIVERED_DUTY_UNPAIDNAMED
国务院经济技术社会发展研究中心,_RESEARCH_CENTRE_TO_ADVISE_ON
按邮政区划为基础的潜力等级指数,_PRIZM_POTENTIAL_RATING_INDEX
中国航天科技集团公司第一研究院,_CHINA_AEROSPACE_SCIENCE_AND
中国航天科工集团公司第二研究院,_CHINA_AEROSPACE_SCIENCE_AND
中国航天科技集团公司第四研究院,_CHINA_AEROSPACE_SCIENCE_AND
科学社会主义与国际共产主义运动,_SCIENTIFIC_SOCIALISM_AND
美国纺织化学师与印染师协会标准,_AMERICAN_ASSOCIATION_OF
中国联合国教科文组织全国委员会,_NATIONAL_COMMISSION_OF_THE
满载排水量或重排水量或总排水量,_LOADED_DISPLACEMENT
中国航天科工集团公司第三研究院,_CHINA_AEROSPACE_SCIENCE_AND
中国航天科技集团公司第五研究院,_CHINA_AEROSPACE_SCIENCE_AND
中国航天科技集团公司第八研究院,_CHINA_AEROSPACE_SCIENCE_AND
以外币表示的应收款项或应付款项,_RECEIVABLES_OFR_PAYABLES
划分资本性支出与收益性支出原则,_DISTINGUISHMENT_OETWEEN
中国基督教三自爱国运动委员会,_THREESELF_PATRIOTIC_MOVEMENT
全国儿童和少年工作协调委员会,_NATIONAL_CHILDRENS_WORK
计划完成日期或开始到完成关系,_SCHEDULED_FINISH_DATE_OR
马克思主义理论与思想政治教育,_EDUCATION_OF_MARXIST_THEORY
中华人民共和国中央军事委员会,_CENTRAL_MILITARY_COMMISSION_OF
中国人民解放军体育运动委员会,_PLA_PHYSICAL_CULTURE_AND
中国航天科技集团公司第研究所,_CHINA_AEROSPACE_SCIENCE_AND
计划开始日期或开始到开始关系,_SCHEDULED_START_DATE_OR
中国烟草总公司郑州烟草研究院,_ZHENGZHOU_TOBACCO_RESEARCH
对比一下常用词船房不管装和卸,_FREE_IN_AND_OUTFIO
中国人民解放军基本建设工程兵,_PLA_CAPITAL_CONSTRUCTION
中国国际贸易促进委员会产地证,_CHINA_COUNCIL_FOR_THE
地球物理地球化学勘查研究所,_GEOCHEMISTRY_SURVEY_INSTITUTE
固定资产更换与固定资产改良,_IMPROVEMENTS_AND_REPLACEMENTS
国内目标市场定位的营销战略,_DOMESTIC_TARGET_MARKETING
全国少年儿童文化艺术委员会,_NATIONAL_COUNCIL_ON_CULTURAL
化工机械及自动化研究设计院,_CHEMICAL_MACHINENARY_AND
可经由浏览器访问的应用程序,_BROWSERACCESSIBLE_APPLICATION
美国公职分析化学师协会标准,_ASSOCIATION_OF_OFFICIAL
出口载货运费清单或运费舱单,_EXPORT_FREIGHT_MANIFEST
我不知道国际贸易履约信用证,_PERFORMANCE_LETTER_OF_CREDIT
北京市结核病胸部肿瘤研究所,_BEIJING_TUBERCULOSIS_AND
阿拉斯加大学费尔班克斯分校,_UNIVERSITY_OF_ALASKA_FAIRBANKS
全国人民代表大会常务委员会,_STANDING_COMMITTEE_OF_THE
上海发电设备成套设计研究所,_SHANGHAI_POWER_EQUIPMENT
伊利诺伊大学厄本那香槟分校,_UNIVERSITY_OF_ILLINOIS_AT
国家体育总局体育科学研究所,_RESEARCH_INSTITUTE_OF_PHYSICAL
中共中央直属机关工作委员会,_WORK_COMMITTEE_OF_DEPARTMENTS
中国科学技术普及及创作协会,_CHINESE_ASSOCIATION_OF_POPULAR
中国人民保卫儿童全国委员会,_CHINESE_PEOPLES_NATIONAL
承认及执行外国仲裁裁决公约,_CONVENTION_ON_THE_RECOGNITION
科学事业单位成本费用管理,_SCIENTIFIC_RESEARCH
中华人民共和国国家旅游局,_NATIONAL_TOURISM
中国人民解放军天津警备区,_TIANJIN_GARRISON_OF_THE_PLA
可避免成本与不可避免成本,_AVOIDABLE_COST_AND_UNAVOIDABLE
可递延成本与不可递延成本,_DEFERRABLE_COST_AND
市场领导者的市场增长战略,_GROWTHMARKET_STRATEGIES_FOR
国家海洋局第一海洋研究所,_THE_FIRST_INSTITUTE_OF
看着贸易咨询利润分成原则,_LICENSOR_SHARE_ON_LICENSEE
中国农业机械化科学研究院,_CHINESE_ACADEMY_OF
北卡罗来纳大学教堂山分校,_UNIVERSITY_OF_NORTH_CAROLINA
社会医学与卫生事业管理学,_SOCIAL_MEDICINE_AND_HEALTH
中央党的建设工作领导小组,_PARTY_BUILDING_DIRECTORATE_OF
计划与控制系统领域的审计,_PLANNING_AND_CONTROL_SYSTEM
国家海洋局第三海洋研究所,_THE_THIRD_INSTITUTE_OF
中国地震局地壳应力研究所,_THE_INSTITUTE_OF_CRUSTAL
运费保险费付至指定目的地,_CARRIAGE_AND_INSURANCE_PAID_TO
船舶与海洋结构物设计制造,_DESIGN_AND_CONSTRUCTION_OF
中国人民政治协商会议政协,_CHINESE_PEOPLES_POLITICAL
中央宣传思想工作领导小组,_PROPAGANDA_AND_IDEOLOGICAL
中国人民解放军军事检察院,_PLA_MILITARY_PROCURATORATE
中国人民解放军军事科学院,_PLA_ACADEMY_OF_MILITARY
德克萨斯大学安东尼奥分校,_UNIVERSITY_OF_TEXAS_AT_SAN
中国地震局地球物理研究所,_INSTITUTE_OF_GEOPHSICS_CHINA
国家海洋局海洋技术研究所,_NATIONAL_MARINE_TECHNOLOGY
北京市心肺血管疾病研究所,_BEIJING_INSTITUTE_OF_HEART
国家海洋局第二海洋研究所,_THE_SECOND_INSTITUTE_OF
